V-1,V-2,V-3,V-4,V-5,V-6,V-7,V-8,V-10
1,15670,3440,7208.2,460,1010.5,5,3000,630
1,7600,1140,3040,400,963.81,23,2900,1000
1,4880,1070,1854.4,380,614,5,4100,520
1,5020,1110,1706.8,340,853.01,5,3300,450
1,2620,670,1231.4,470,724.38,5,3900,650
1,3000,800,1230,410,631.91,13,5000,700
1,4040,890,1212,300,752.65,6,3800,450
1,1810,492,1158.4,640,843.98,11,5700,900
1,2500,640,1050,420,647.32,12,4800,700
1,3700,820,962,260,749.77,6,2600,380
1,3560,690,925.6,260,885.89,7,2500,360
1,3040,670,881.6,290,561.79,5,4900,440
1,1590,350,667.8,420,678.64,6,4900,620
1,1460,380,627.8,430,733.24,5,4700,590
1,3150,920,598.5,190,1010.84,16,1200,410
1,1150,380,575,500,590.68,6,5300,600
1,3420,880,547.2,160,890.64,4,2000,180
1,1860,480,539.4,290,836.28,4,3300,380
1,4080,790,530.4,130,759.17,7,1800,190
1,3030,930,515.1,170,1007.38,3,1500,190
1,1830,410,494.1,270,650.57,6,3700,300
1,6930,1780,485.1,70,718.57,5,590,90
1,4800,840,480,100,689.84,15,630,170
1,1450,370,406,280,702.48,5,3800,370
1,2750,610,357.5,130,916.66,6,1300,160
1,5030,1540,251.5,50,667.88,3,600,130
1,1480,380,222,150,731.79,5,1700,190
1,2110,540,189.9,90,732.14,5,690,110
1,750,200,90,120,846.15,6,1100,150
1,685,202,13.7,20,459.54,4,140,30
2,5540,850,1551.2,280,957.42,9,1200,440
2,2710,600,867.2,320,637.72,6,2300,490
2,2250,690,765,340,853.01,3,2200,430
2,3600,980,612,170,2648.04,7,250,145
2,2600,560,598,230,415.24,10,2100,400
2,3160,700,537.2,170,694.97,6,1100,300
2,1160,300,429.2,370,474.91,5,2400,480
2,900,300,351,390,755.51,6,2600,600
2,2820,620,310.2,110,536.64,6,1300,170
2,820,250,303.4,370,928.27,7,2400,580
2,1350,350,270,200,576.74,5,1700,270
2,730,190,226.3,310,893.95,6,1800,450
2,1540,590,215.6,140,698.95,2,820,160
2,1260,330,189,150,875.96,5,790,210
2,1160,260,185.6,160,697.66,7,990,230
